idrebap,barrio_nombre,provincia_id,provincia_nombre,departamento_nombre,localidad_nombre,geojson
299,Lujan Y Lavalle,06,Buenos Aires,Tres De Febrero,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.612406970999984,-34.55196600599993],[-58.61272573499997,-34.552244351999946],[-58.611851334999983,-34.552907077999976],[-58.611473561999958,-34.552566878999983],[-58.612331868999945,-34.55191298799997],[-58.612406970999984,-34.55196600599993]]]]}"
320,Talleres,06,Buenos Aires,Pehuajo,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-61.882864236999978,-35.809278176999953],[-61.883786916999952,-35.810043839999935],[-61.884749851994641,-35.810858450994616],[-61.882907151999973,-35.812349483999981],[-61.88102960599997,-35.810783393999941],[-61.882864236999978,-35.809278176999953]]]]}"
384,Barrio Cumba,06,Buenos Aires,Pehuajo,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-61.882923598393951,-35.812423956333419],[-61.883339720772661,-35.812745648276412],[-61.882448006449941,-35.813485431101867],[-61.881460126411959,-35.814249804638813],[-61.881030931027588,-35.813875889431735],[-61.882923598393951,-35.812423956333419]]]]}"
1118,Progreso,06,Buenos Aires,Pehuajo,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-61.914080623999951,-35.823763611999937],[-61.91309046899994,-35.824559581999949],[-61.910307467999985,-35.822273865999932],[-61.911237481999933,-35.821493096999973],[-61.914080623999951,-35.823763611999937]]]]}"
1420,Santa Maria,06,Buenos Aires,Pehuajo,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-61.916844428773665,-35.813846433736884],[-61.91497271318363,-35.815368866622336],[-61.913110942784712,-35.813777609871131],[-61.914993589992761,-35.8123059840683],[-61.916844428773665,-35.813846433736884]]]]}"
2594,Emaus,02,Ciudad Autonoma De Buenos Aires,Comuna 8,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.467300277692551,-34.689394133349786],[-58.467282490478851,-34.689430933056038],[-58.467289044314064,-34.689435423792908],[-58.467576034800381,-34.689647321764731],[-58.467091449589269,-34.68996741383733],[-58.466492293443721,-34.689432202808895],[-58.466543147776235,-34.689315957308494],[-58.466899987999966,-34.689081581999972],[-58.467096251041667,-34.68895306894607],[-58.467389602645248,-34.689246262732894],[-58.467297970423644,-34.689392356174622],[-58.467300277692551,-34.689394133349786]]]]}"
2549,Villa 31,02,Ciudad Autonoma De Buenos Aires,Comuna 1,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.37781216999997,-34.586883005999937],[-58.37755220555605,-34.58655032218708],[-58.377426628817396,-34.586355087530237],[-58.377408229769706,-34.586305314306657],[-58.37737144731507,-34.586240083540915],[-58.377255569667973,-34.586285477710689],[-58.376700635353437,-34.585611015346132],[-58.376718058915152,-34.585577272221194],[-58.376366463508838,-34.585193414837256],[-58.37558524073313,-34.584272183626709],[-58.37580160899995,-34.584134536999954],[-58.377330190534607,-34.583306058480041],[-58.376431545825938,-34.58212806135306],[-58.378088887577753,-34.581159555819859],[-58.378351842208289,-34.5815077626636],[-58.3784231401333,-34.581645614529634],[-58.376827785876486,-34.582569010785157],[-58.377365734889139,-34.583268668951447],[-58.379244043999961,-34.582205875999932],[-58.379605658999935,-34.582605974999979],[-58.381522127999972,-34.581728450999947],[-58.383445255999959,-34.580661957999951],[-58.383380698999986,-34.580574414999944],[-58.384870946793363,-34.579780306252772],[-58.384862890322275,-34.579648594280528],[-58.384281209999983,-34.579267355086486],[-58.383735208999951,-34.579160286999979],[-58.383592834434751,-34.579155939223938],[-58.383418183413134,-34.579110092395219],[-58.383491038240258,-34.5790818566799],[-58.385230640877495,-34.578813953659264],[-58.385287000096177,-34.578866039373132],[-58.385712748287482,-34.57879198561001],[-58.385784678486075,-34.579198708465192],[-58.385873285999935,-34.579273034999972],[-58.386089676999973,-34.579320125999971],[-58.387378963999936,-34.578463763999935],[-58.387390830999948,-34.578456155999959],[-58.387419984999951,-34.578304310999954],[-58.386902319999933,-34.578213354999946],[-58.386587820999978,-34.578183118999959],[-58.386662551999962,-34.578101090999951],[-58.388962622999941,-34.578259810999953],[-58.389388683999982,-34.578372427999966],[-58.387632158999963,-34.579443890999983],[-58.386822540999958,-34.579850873999931],[-58.386054402999946,-34.580230050999944],[-58.385463557999969,-34.580522315999929],[-58.385030335999943,-34.58079700299993],[-58.383594347999974,-34.581630359999963],[-58.382361264549665,-34.5822324860983],[-58.382448678918948,-34.582357977574723],[-58.381901030763991,-34.582655369175058],[-58.381816253818116,-34.582527406743232],[-58.381154645973048,-34.582853736946774],[-58.380718354297585,-34.583169820301713],[-58.380545440887893,-34.583283816950548],[-58.380344776384263,-34.583481146625978],[-58.380215476056449,-34.583655475999933],[-58.380055011529507,-34.583866861837151],[-58.379938054524338,-34.584194881031053],[-58.380065826840614,-34.584394928830825],[-58.379858495229954,-34.584501432134473],[-58.379879485999936,-34.585133176999932],[-58.380068973999983,-34.585640614999932],[-58.379584527999953,-34.585914890999959],[-58.37781216999997,-34.586883005999937]]]]}"
2550,Barrio General San Martín,02,Ciudad Autonoma De Buenos Aires,Comuna 1,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.377317299746984,-34.586332431885438],[-58.377409768039684,-34.586317844300773],[-58.377426120177134,-34.586357494661762],[-58.377461061196222,-34.586430715840407],[-58.377430604155492,-34.586473079804421],[-58.37762755444102,-34.586703637270183],[-58.377706590658271,-34.586830914347239],[-58.377754514212391,-34.586939411350791],[-58.37588451963024,-34.587796173103825],[-58.375079958732655,-34.588182190293558],[-58.3735031926754,-34.589023958505919],[-58.373439846999986,-34.588936372999967],[-58.37295323799998,-34.589198026999952],[-58.372799343434231,-34.589055803224888],[-58.372712510999975,-34.588908422999964],[-58.374072355999942,-34.588147245999949],[-58.3772099228401,-34.586417155367478],[-58.377190077365569,-34.586359414403113],[-58.377273413957582,-34.586293025258563],[-58.377317299746984,-34.586332431885438]]]]}"
2551,Villa 31 Bis,02,Ciudad Autonoma De Buenos Aires,Comuna 1,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.380086199999937,-34.585647395999956],[-58.379926849999947,-34.585222251999937],[-58.379891762999932,-34.585117029999935],[-58.379869210286465,-34.58450099105454],[-58.3800698546426,-34.5843963283308],[-58.3799443368996,-34.584195284283282],[-58.380062534999979,-34.583886637999967],[-58.380359296999984,-34.583500077999929],[-58.380524142717135,-34.583359554861367],[-58.380735301678712,-34.583179551883255],[-58.381168444657028,-34.582854611689967],[-58.381811044654008,-34.582542112324404],[-58.381897388014409,-34.582665441987679],[-58.382476969744808,-34.582365551617919],[-58.382377495845176,-34.5822301485004],[-58.382815557999947,-34.582015854999952],[-58.383678367999948,-34.58160399999997],[-58.384138395999969,-34.581330057999935],[-58.384933368999953,-34.580864251999969],[-58.385481023999944,-34.580519797999955],[-58.386088725999969,-34.58022323199998],[-58.387623364999968,-34.579460299999937],[-58.389417560999959,-34.57837289899993],[-58.389941802999942,-34.578342910999936],[-58.390096685999936,-34.578418948999968],[-58.390323619487454,-34.578766302999128],[-58.390023117253371,-34.578891728552719],[-58.389747535999959,-34.578971009999975],[-58.389769598999976,-34.579080580999971],[-58.389250579999953,-34.579262883999945],[-58.389197958999944,-34.579255983999929],[-58.388843142999974,-34.579455146999976],[-58.388672722999956,-34.579585976999965],[-58.388570460999972,-34.579741801999944],[-58.388709953999978,-34.579942844999948],[-58.388837914999954,-34.580188376999956],[-58.388977777999969,-34.580246236999983],[-58.390348178999943,-34.579788094999969],[-58.390475324999954,-34.57963603099995],[-58.39066459299994,-34.579573926999956],[-58.390851939999948,-34.579633046999959],[-58.391913434535766,-34.57933039701048],[-58.391914188999593,-34.579188737091648],[-58.39181318631509,-34.579178708286619],[-58.391846586075005,-34.579085228187878],[-58.392069108170773,-34.578971476560184],[-58.392231649279793,-34.578903383431275],[-58.392284557681847,-34.578931237324866],[-58.392368944778255,-34.579016095694733],[-58.392385246596454,-34.57913657157625],[-58.39335231370687,-34.578779453572579],[-58.393362792658294,-34.578860829357509],[-58.392347688097161,-34.579313713352917],[-58.392395405999935,-34.579342885999949],[-58.391002846999982,-34.579972973999929],[-58.389197291999949,-34.580697849999979],[-58.388054663999981,-34.580977160999964],[-58.38702985599997,-34.581479890999958],[-58.386401803999945,-34.581768473999944],[-58.38623845799998,-34.581751293999957],[-58.385221849999937,-34.58238997899997],[-58.384209134999935,-34.582973795999976],[-58.383492911999952,-34.583403301999965],[-58.382284888999948,-34.584253915999966],[-58.381139263999955,-34.585012619999929],[-58.380822841999986,-34.585259008999969],[-58.380086199999937,-34.585647395999956]]]]}"
2552,Rodrigo Bueno,02,Ciudad Autonoma De Buenos Aires,Comuna 1,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.355377934416481,-34.61905115816694],[-58.355231171888612,-34.619454128028778],[-58.35456631830138,-34.61936073841742],[-58.353884689613189,-34.619375839724469],[-58.353632054067788,-34.619342511694768],[-58.353108834182983,-34.619286415249007],[-58.351930281638282,-34.619091671982318],[-58.351538073591939,-34.619036083283937],[-58.351498223476391,-34.6189705416594],[-58.3515175097775,-34.618851064715379],[-58.351418723109248,-34.618810181421054],[-58.351322663926069,-34.618666713421014],[-58.351081933385736,-34.618387674288513],[-58.350992142875285,-34.618378966795106],[-58.350908915267851,-34.618300801411195],[-58.350930197580134,-34.618269262013307],[-58.350972357699582,-34.618247346956338],[-58.350996311523552,-34.618167887300061],[-58.351099702484255,-34.618054174015668],[-58.351199578950627,-34.617957693262312],[-58.35149122092713,-34.617753536616483],[-58.351571630167228,-34.617826016276076],[-58.351459327338553,-34.617887296449076],[-58.351778880999973,-34.618210770999951],[-58.352349828290556,-34.618565691905658],[-58.35276719778124,-34.6185253763608],[-58.353372051999941,-34.618668622999962],[-58.353590949116885,-34.618721187935584],[-58.353933498053685,-34.618723041677328],[-58.353950249214584,-34.618689052758434],[-58.354183757340131,-34.618672552498538],[-58.354241449322117,-34.618723557814583],[-58.354652300358879,-34.618820967967935],[-58.3546983702894,-34.618787764824042],[-58.354880483331613,-34.618841177628234],[-58.354893837554656,-34.618895541111314],[-58.355377934416481,-34.61905115816694]]]]}"
